Makanan ,Hidangan ,Berat (g) (ml),Kalori (kcal) 
Bihun bandung ,1 mangkuk ,450,490
Bihun bandung + sayur + 1 biji telur rebus ,1 mangkuk ,250,350
Bihun goring ,2 senduk ,170,290
Bihun goreng + sayur + fish cake ,2 senduk ,140,240
Bihun goreng ala Cina ,2 senduk ,140,220
Bihun goreng putih ,2 senduk ,120,200
Bihun goreng Singapura ,2 senduk ,120,150
Bihun hailam + sayur + ayam ,1 mangkuk ,250,350
Bihun kantonis + sayur + ayam ,1 pinggan ,280,430
Bihun kari ,1 mangkuk ,250,325
Bihun kari + sayur + ayam ,1 mangkuk ,250,330
Bihun latna + sayur + ayam ,1 mangkuk ,250,380
Bihun rebus + sayur + ½ biji telur rebus ,1 mangkuk ,250,310
Bihun Soto ,1 mangkuk cina ,130,50
Bihun sup ,1 mangkuk ,200,200
Bihun sup + sayur + ayam ,1 mangkuk ,200,200
Bihun tom yam + sayur + ayam ,1 mangkuk ,250,230
Bubur ayam ,1 mangkuk ,200,70
Bubur daging ,1 mangkuk ,200,120
Bubur ikan ,1 mangkuk ,200,80
Bubur nasi ,1 cawan ,170,70
Bubur nasi + sayur campur + bawang goreng,1 mangkuk ,150,140
Chap chye ,1 senduk ,60,50
Char kuetiau ,2 senduk ,120,230
Ketupat nasi ,5 potong ,200,215
Kuetiau bandung ,1 mangkuk kecil ,450,540
Kuetiau bandung + sayur + 1 biji telur rebus ,1 mangkuk kecil ,200,300
Kuetiau goreng + sayur + fish cake ,2 senduk ,120,250
Kuetiau goreng ,2 senduk ,170,320
Kuetiau hailam + sayur + ayam ,1 mangkuk ,250,380
Kuetiau kantonis + sayur + ayam ,1 pinggan ,280,410
Kuetiau kari ,1 mangkuk ,250,315
Kuetiau kari + sayur + ayam ,1 mangkuk ,250,320
Kuetiau latna + sayur + ayam ,1 mangkuk ,250,320
Kuetiau sup ,1 mangkuk ,250,140
Kuetiau sup + sayur + ayam ,1 mangkuk ,250,140
Kuetiau tom yam + sayur + ayam ,1 mangkuk ,250,210
Laksa + sayur + ½ biji telur rebus ,1 mangkuk ,250,240
Laksa Johor ,1 mangkuk ,250,330
Laksa Sarawak ,1 mangkuk ,250,320
Lemang ,1 potong ,30,100
Lontong + nasi impit ,1 mangkuk ,300,340
Makaroni ayam ,1 senduk ,100,150
Makaroni bakar ,2 senduk ,90,150
Makaroni goring ,2 senduk ,90,300
Mi bandung ,1 mangkuk ,450,550
Mi bandung + sayur + ayam ,1 mangkuk ,250,310
Mi goreng ,3 senduk ,170,280
Mi goreng + sayur + fish cake ,3 senduk ,150,250
Mi goreng mamak ,3 senduk ,150,270
Mi hailam + sayur + ayam ,1 mangkuk ,250,340
Mi hailam berkuah ,1 mangkuk ,250,340
Mi kantonis + sayur + ayam ,1 mangkuk ,280,410
Mi kari ,1 mangkuk ,410,530
Mi kari + sayur + ayam ,1 mangkuk ,250,320
Mi kungfu ,1 mangkuk ,250,220
Mi latna + sayur + ayam ,1 mangkuk ,250,400
Mi rebus ,1 mangkuk ,250,250
Mi rebus + sayur + ½ biji telur rebus ,1 mangkuk ,250,170
Mi siam ,2 senduk ,100,120
Mi sup ,1 mangkuk ,560,380
Mi sup + sayur + ayam ,1 mangkuk ,250,170
Mi tom yam + sayur + ayam ,1 mangkuk ,250,130
Mi udang sup ,1 mangkuk ,480,250
Mi wantan sup ,1 mangkuk ,250,125
Nasi ambang ,1 hidangan ,250,325
Nasi ayam (nasi sahaja) ,2 senduk ,100,160
Nasi ayam (set) ,1 pinggan ,250,280
Nasi ayam + ayam + sayur + sos cili ,1 pinggan ,250,450
Nasi beriani (nasi sahaja) ,1 cawan ,110,200
Nasi briyani (set) ,1 pinggan ,250,460
Nasi briyani + ayam goreng berempah ,1 pinggan ,250,450
Nasi dagang ,1 pinggan ,250,510
Nasi goreng ,3 senduk ,150,290
Nasi goreng (biasa) + sayur + fish cake ,3 senduk ,150,290
Nasi goreng ayam + cendawan ,1 set ,240,450
Nasi goreng cendawan ,3 senduk ,150,290
Nasi goreng cina ,3 senduk ,150,320
Nasi goreng cina + sayur + telur ,3 senduk ,150,320
Nasi goreng gajus ,3 senduk ,150,330
