"id","Makanan","Hidangan","Berat","Kalori","Unit"
"1","Bihun bandung","1 mangkuk","450","490",
"2","Bihun bandung + sayur + 1 biji telur rebus","1 mangkuk","250","350",
"3","Bihun goreng","2 senduk","170","290",
"4","Bihun goreng + sayur + fish cake","2 senduk","140","240",
"5","Bihun goreng ala Cina","2 senduk","140","220",
"6","Bihun goreng putih","2 senduk","120","200",
"7","Bihun goreng Singapura","2 senduk","120","150",
"8","Bihun hailam + sayur + ayam","1 mangkuk","250","350",
"9","Bihun kantonis + sayur + ayam","1 pinggan","280","430",
"10","Bihun kari","1 mangkuk","250","325",
"11","Bihun kari + sayur + ayam","1 mangkuk","250","330",
"12","Bihun latna + sayur + ayam","1 mangkuk","250","380",
"13","Bihun rebus + sayur + ½ biji telur rebus","1 mangkuk","250","310",
"14","Bihun Soto","1 mangkuk cina","130","50",
"15","Bihun sup","1 mangkuk","200","200",
"16","Bihun sup + sayur + ayam","1 mangkuk","200","200",
"17","Bihun sup + sayur + ayam + 3 biji meatball","1 mangkuk","345","345",
"18","Bihun tom yam + sayur + ayam","1 mangkuk","250","230",
"19","Bubur ayam","1 mangkuk","200","70",
"20","Bubur daging","1 mangkuk","200","120",
"21","Bubur ikan","1 mangkuk","200","80",
"22","Bubur nasi","1 cawan","170","70",
"23","Bubur nasi + sayur campur + bawang goreng","1 mangkuk","150","140",
"24","Chap chye","1 senduk","60","50",
"25","Char kuetiau","2 senduk","120","230",
"26","Ketupat nasi","5 potong","200","215",
"27","Kuetiau bandung","1 mangkuk kecil","450","540",
"28","Kuetiau bandung + sayur + 1 biji telur rebus","1 mangkuk kecil","200","300",
"29","Kuetiau goreng + sayur + fish cake","2 senduk","120","250",
"30","Kuetiau goreng","2 senduk","170","320",
"31","Kuetiau hailam + sayur + ayam","1 mangkuk","250","380",
"32","Kuetiau kantonis + sayur + ayam","1 pinggan","280","410",
"33","Kuetiau kari","1 mangkuk","250","315",
"34","Kuetiau kari + sayur + ayam","1 mangkuk","250","320",
"35","Kuetiau latna + sayur + ayam","1 mangkuk","250","320",
"36","Kuetiau sup","1 mangkuk","250","140",
"37","Kuetiau sup + sayur + ayam","1 mangkuk","250","140",
"38","Kuetiau tom yam + sayur + ayam","1 mangkuk","250","210",
"39","Laksa + sayur + Â½ biji telur rebus","1 mangkuk","250","240",
"40","Laksa Johor","1 mangkuk","250","330",
"41","Laksa Sarawak","1 mangkuk","250","320",
"42","Lemang","1 potong","30","100",
"43","Lontong + nasi impit","1 mangkuk","300","340",
"44","Makaroni ayam","1 senduk","100","150",
"45","Makaroni bakar","2 senduk","90","150",
"46","Makaroni goring","2 senduk","90","300",
"47","Mi bandung","1 mangkuk","450","550",
"48","Mi bandung + sayur + ayam","1 mangkuk","250","310",
"49","Mi goreng","3 senduk","170","280",
"50","Mi goreng + sayur + fish cake","3 senduk","150","250",
"51","Mi goreng mamak","3 senduk","150","270",
"52","Mi hailam + sayur + ayam","1 mangkuk","250","340",
"53","Mi hailam berkuah","1 mangkuk","250","340",
"54","Mi kantonis + sayur + ayam","1 mangkuk","280","410",
"55","Mi kari","1 mangkuk","410","530",
"56","Mi kari + sayur + ayam","1 mangkuk","250","320",
"57","Mi kungfu","1 mangkuk","250","220",
"58","Mi latna + sayur + ayam","1 mangkuk","250","400",
"59","Mi rebus","1 mangkuk","250","250",
"60","Mi rebus + sayur + Â½ biji telur rebus","1 mangkuk","250","170",
"61","Mi siam","2 senduk","100","120",
"62","Mi sup","1 mangkuk","560","380",
"63","Mi sup + sayur + ayam","1 mangkuk","250","170",
"64","Mi tom yam + sayur + ayam","1 mangkuk","250","130",
"65","Mi udang sup","1 mangkuk","480","250",
"66","Mi wantan sup","1 mangkuk","250","125",
"67","Nasi ambang","1 hidangan","250","325",
"68","Nasi ayam (nasi sahaja)","2 senduk","100","160",
"69","Nasi ayam (set)","1 pinggan","250","280",
"70","Nasi ayam + ayam + sayur + sos cili","1 pinggan","250","450",
"71","Nasi beriani (nasi sahaja)","1 cawan","110","200",
"72","Nasi briyani (set)","1 pinggan","250","460",
"73","Nasi briyani + ayam goreng berempah","1 pinggan","250","450",
"74","Nasi dagang","1 pinggan","250","510",
"75","Nasi goreng","3 senduk","150","290",
"76","Nasi goreng (biasa) + sayur + fish cake","3 senduk","150","290",
"77","Nasi goreng ayam + cendawan","1 set","240","450",
"78","Nasi goreng cendawan","3 senduk","150","290",
"79","Nasi goreng cina","3 senduk","150","320",
"80","Nasi goreng cina + sayur + telur","3 senduk","150","320",
"81","Nasi goreng gajus","3 senduk","150","330",
"82","Nasi goreng ikan masin","3 senduk","150","280",
"83","Nasi goreng ikan masin + sayur + ikan masin","3 senduk","150","280",
"84","Nasi goreng kampung","3 senduk","150","270",
"85","Nasi goreng kampung","3 senduk","150","290",
"86","Nasi goreng kerabu","3 senduk","150","340",
"87","Nasi goreng lada hitam + sayur + ayam","3 senduk","150","290",
"88","Nasi goreng paprik","3 senduk","150","240",
"89","Nasi goreng paprik + sayur + ayam","3 senduk","150","240",
"90","Nasi goreng pataya + sayur + ayam + telur dadar","3 senduk","150","370",
"91","Nasi goreng pattaya","3 senduk","150","285",
"92","Nasi goreng udang + sayur","3 senduk","150","380",
"93","Nasi goreng USA","3 senduk","150","285",
